protein1	protein2	neighborhood	coexpression	experimental	combined
TWISTNB	NIP7	0.0	0.875	0.0	0.8640833071467172
TWISTNB	WDR18	0.0	0.828	0.0	0.8129786306338829
TWISTNB	HEATR1	0.0	0.851	0.0	0.8379873021188867
TWISTNB	GTPBP4	0.0	0.857	0.0	0.8445113033758445
TWISTNB	BOP1	0.0	0.876	0.0	0.8651706406895435
TWISTNB	DHX37	0.0	0.846	0.0	0.8325506344047555
TWISTNB	EMG1	0.0	0.85	0.0	0.8368999685760606
TWISTNB	TRMT6	0.0	0.88	0.0	0.8695199748608485
TWISTNB	NSA2	0.0	0.821	0.0	0.8053672958340989
TWISTNB	UTP3	0.0	0.86	0.0	0.8477733040043232
TWISTNB	POLR2H	0.0	0.649	0.788	0.9190893364112122
TWISTNB	UTP25	0.0	0.858	0.0	0.8455986369186707
TWISTNB	DKC1	0.0	0.826	0.692	0.9417276207728549
TWISTNB	NOP58	0.0	0.897	0.0	0.888004645088895
TWISTNB	DDX55	0.0	0.92	0.055	0.9177975841623346
TWISTNB	MRTO4	0.0	0.861	0.0	0.8488606375471495
TWISTNB	RRP12	0.0	0.864	0.0	0.8521226381756283
TWISTNB	DDX51	0.0	0.82	0.055	0.8150445643652526
TWISTNB	GNL2	0.0	0.839	0.0	0.8249392996049717
TWISTNB	NOC3L	0.0	0.853	0.0	0.8401619692045393
TWISTNB	RBM28	0.0	0.867	0.0	0.855384638804107
TWISTNB	DDX56	0.0	0.869	0.055	0.8653935440658228
TWISTNB	NOLC1	0.0	0.852	0.189	0.8694895295216493
TWISTNB	METTL1	0.0	0.858	0.0	0.8455986369186707
TWISTNB	LTV1	0.0	0.838	0.0	0.8238519660621454
TWISTNB	DIMT1	0.0	0.839	0.0	0.8249392996049717
TWISTNB	WDR74	0.0	0.849	0.0	0.8358126350332343
TWISTNB	POLR2F	0.0	0.309	0.788	0.8407143346442952
TWISTNB	POLR2E	0.0	0.483	0.788	0.8808238943720703
TWISTNB	FTSJ3	0.0	0.852	0.0	0.839074635661713
TWISTNB	DDX24	0.0	0.826	0.055	0.8212097455530777
TWISTNB	POLR2K	0.0	0.304	0.788	0.8395617610888993
TWISTNB	NOP14	0.0	0.866	0.0	0.8542973052612808
TWISTNB	ESF1	0.0	0.857	0.0	0.8445113033758445
TWISTNB	BMS1	0.0	0.856	0.0	0.8434239698330182
TWISTNB	KRR1	0.0	0.871	0.051	0.8668875403536661
TWISTNB	POLR3C	0.0	0.811	0.051	0.8049747684251387
TWISTNB	WDR43	0.0	0.881	0.0	0.8706073084036748
TWISTNB	RBM19	0.0	0.822	0.0	0.8064546293769251
TWISTNB	RPF1	0.0	0.837	0.0	0.8227646325193192
TWISTNB	PES1	0.0	0.879	0.0	0.8684326413180222
TWISTNB	NAT10	0.0	0.838	0.0	0.8238519660621454
TWISTNB	FKBP15	0.0	0.826	0.133	0.8359670363963156
TWISTNB	RRP9	0.0	0.872	0.0	0.8608213065182383
TWISTNB	POLR1C	0.0	0.846	0.97	0.9949765190321427
TWISTNB	PWP1	0.0	0.838	0.0	0.8238519660621454
TWISTNB	NMD3	0.0	0.851	0.0	0.8379873021188867
TWISTNB	RRP15	0.0	0.858	0.0	0.8455986369186707
TWISTNB	UTP18	0.0	0.85	0.0	0.8368999685760606
TWISTNB	NGDN	0.0	0.853	0.0	0.8401619692045393
TWISTNB	DDX18	0.0	0.818	0.055	0.812989503969311
TWISTNB	LYAR	0.0	0.859	0.0	0.8466859704614969
TWISTNB	NOL10	0.0	0.859	0.0	0.8466859704614969
TWISTNB	TRMT11	0.0	0.841	0.0	0.8271139666906242
TWISTNB	NOC4L	0.0	0.848	0.0	0.834725301490408
TWISTNB	UTP23	0.0	0.835	0.0	0.8205899654336667
TWISTNB	SDAD1	0.0	0.871	0.0	0.859733972975412
TWISTNB	NLE1	0.0	0.845	0.0	0.8314633008619292
TWISTNB	NOP2	0.0	0.839	0.0	0.8249392996049717
TWISTNB	GRWD1	0.0	0.888	0.0	0.8782186432034587
TWISTNB	BRIX1	0.0	0.893	0.0	0.8836553109175899
TWISTNB	POLR1D	0.0	0.847	0.962	0.9936782427820081
TWISTNB	NVL	0.0	0.829	0.0	0.8140659641767091
ITGB8	ITGAV	0.0	0.062	0.905	0.9031077079987517
HBP1	SIN3A	0.0	0.061	0.971	0.970390820295298
MPP6	EXOSC6	0.055	0.045	0.993	0.9931309606265651
MPP6	DIS3	0.052	0.062	0.993	0.993231818423997
MPP6	EXOSC9	0.0	0.082	0.993	0.9930127946537984
MPP6	MPP2	0.0	0.0	0.823	0.8075419629197514
MPP6	MTREX	0.0	0.081	0.993	0.9930051833189987
MPP6	EXOSC2	0.0	0.128	0.993	0.9933629160545885
MPP6	EXOSC3	0.0	0.107	0.993	0.993203078023793
MPP6	LIN7C	0.0	0.086	0.913	0.9135374113415412
MPP6	EXOSC8	0.0	0.114	0.993	0.9932563573673916
MPP6	EXOSC5	0.055	0.074	0.993	0.9933395492567532
MPP6	EXOSC4	0.055	0.073	0.993	0.9933323565453673
MPP6	EXOSC7	0.0	0.082	0.993	0.9930127946537984
OGDH	NDUFS2	0.0	0.237	0.802	0.8357321723510652
OGDH	DLST	0.081	0.667	0.956	0.9853588494271384
OGDH	PDHX	0.081	0.246	0.875	0.9058197896879462
OGDH	DLAT	0.081	0.291	0.887	0.9199423245668878
OGDH	PDHB	0.0	0.122	0.81	0.8186110183857228
OGDH	SUCLG1	0.185	0.527	0.855	0.9392215616066876
OGDH	MRPS2	0.0	0.0	0.82	0.8042799622912725
OGDH	ATP5F1A	0.17	0.728	0.194	0.8021460049734637
OGDH	PDHA1	0.0	0.113	0.829	0.8350765102247409
OGDH	DLD	0.081	0.157	0.912	0.9258709313337994
CAV2	CAV1	0.0	0.819	0.454	0.8925431752966517
HOXA2	RCHY1	0.0	0.0	0.829	0.8140659641767091
HOXA5	HOXA6	0.0	0.363	0.96	0.9722947413287868
HOXA5	HOXB6	0.0	0.239	0.96	0.9669015669563685
HOXA5	HOXC8	0.0	0.116	0.797	0.8048758210727416
HOXA5	HOXB3	0.0	0.169	0.809	0.8274173327490728
HOXA5	HOXC4	0.0	0.247	0.96	0.967249513690073
HOXA5	PBX1	0.0	0.0	0.828	0.8129786306338829
HOXA5	HOXC9	0.0	0.119	0.794	0.802664184646633
HOXA5	AC012531.3	0.0	0.05	0.83	0.8243956328335587
HOXA5	HOXC5	0.0	0.166	0.96	0.9637265530113158
HOXA5	HOXB7	0.0	0.12	0.96	0.9617258592925155
HOXA5	HOXB5	0.0	0.433	0.96	0.9753392752487003
HOXA5	HOXD4	0.0	0.108	0.96	0.9612039391919589
HOXA5	HOXC6	0.0	0.129	0.96	0.962117299367933
HOXA5	HOXA3	0.0	0.414	0.746	0.8381569261515678
HOXA5	HOXB4	0.0	0.238	0.96	0.9668580736146555
HOXA5	HOXA7	0.0	0.356	0.96	0.9719902879367954
HOXA6	HOXA5	0.0	0.363	0.96	0.9722947413287868
HOXA6	HOXB6	0.0	0.155	0.96	0.9632481262524722
HOXA6	HOXC8	0.0	0.098	0.797	0.8009027043072544
HOXA6	HOXB3	0.0	0.143	0.809	0.8220176343753975
HOXA6	HOXC4	0.0	0.123	0.96	0.9618563393176547
HOXA6	AC012531.3	0.0	0.05	0.83	0.8243956328335587
HOXA6	HOXC5	0.0	0.108	0.96	0.9612039391919589
HOXA6	HOXB7	0.0	0.107	0.96	0.9611604458502458
HOXA6	HOXB5	0.0	0.14	0.96	0.9625957261267766
HOXA6	HOXD4	0.0	0.108	0.96	0.9612039391919589
HOXA6	HOXC6	0.0	0.118	0.96	0.9616388726090894
HOXA6	HOXA3	0.0	0.35	0.736	0.8134135640510133
HOXA6	HOXB4	0.0	0.12	0.96	0.9617258592925155
HOXA6	HOXA7	0.0	0.39	0.96	0.9734690615550392
STX1A	STXBP5	0.0	0.062	0.81	0.8062154159975035
STX1A	SNAP23	0.0	0.079	0.995	0.9949928290352851
STX1A	NSF	0.0	0.104	0.808	0.8129438359605125
STX1A	NAPA	0.0	0.063	0.815	0.8115161670187814
STX1A	CHGB	0.0	0.124	0.799	0.8085466591133229
STX1A	AC129492.3	0.0	0.068	0.947	0.9462900723185539
STX1A	CPLX1	0.0	0.171	0.842	0.8575788778935305
STX1A	SYT1	0.0	0.13	0.974	0.9754045152612698
STX1A	SNAP25	0.0	0.191	0.974	0.9771290262601924
STX1A	STXBP1	0.0	0.157	0.876	0.8863388501012851
STX1A	CHGA	0.0	0.195	0.803	0.8275652101108972
STX1A	VAMP2	0.0	0.097	0.835	0.837992738786601
NOD1	UBB	0.0	0.0	0.854	0.8412493027473656
NOD1	UBC	0.0	0.0	0.889	0.879305976746285
NOD1	UBA52	0.0	0.0	0.845	0.8314633008619292
CYP3A5	CYP3A7-CYP3A51P	0.0	0.526	0.692	0.8412580014157083
SNX8	MSH3	0.0	0.0	0.993	0.9923886652002162
SNX8	KARS	0.0	0.0	0.837	0.8227646325193192
WASL	FNBP1L	0.0	0.096	0.897	0.8987561991603611
WASL	CDC42	0.0	0.063	0.851	0.8481941020853969
WASL	WASF1	0.0	0.059	0.912	0.9099600839856429
WASL	WIPF3	0.0	0.11	0.949	0.9506459304911159
WASL	ABI1	0.0	0.062	0.861	0.8582312780192262
WASL	ARPC2	0.0	0.062	0.865	0.8623109534719103
WASL	ARPC4	0.0	0.0	0.845	0.8314633008619292
WASL	ACTA1	0.0	0.0	0.94	0.9347599874304242
WASL	WASF2	0.0	0.0	0.865	0.8532099717184545
WASL	TRIP10	0.0	0.062	0.875	0.8725101421036208
WASL	BAIAP2L1	0.0	0.0	0.91	0.9021399811456364
WASL	WIPF2	0.0	0.11	0.954	0.9554845647566927
WASL	WIPF1	0.0	0.11	0.949	0.9506459304911159
WASL	ACTR3	0.0	0.0	0.826	0.8108039635482303
WASL	ACTR2	0.0	0.0	0.85	0.8368999685760606
WASL	ARHGAP12	0.0	0.092	0.836	0.8380829874706556
AIMP2	MARS	0.0	0.149	0.955	0.9583605619774682
AIMP2	RARS	0.0	0.368	0.945	0.9622042860513591
AIMP2	AIMP1	0.0	0.257	0.973	0.9781870017973623
AIMP2	DARS	0.0	0.106	0.88	0.8833508575255986
AIMP2	EEF1E1	0.0	0.227	0.942	0.9512504879409273
AIMP2	IARS	0.0	0.264	0.847	0.8775575444094201
AIMP2	LARS	0.0	0.09	0.907	0.9079789622706134
AIMP2	UBA1	0.0	0.071	0.81	0.8080747563557363
AIMP2	EPRS	0.0	0.128	0.98	0.98103690301311
AIMP2	CIAPIN1	0.0	0.083	0.85	0.8504372711842475
AIMP2	KARS	0.0	0.34	0.97	0.97847079585204
AIMP2	TWF1	0.0	0.0	0.835	0.8205899654336667
AIMP2	QARS	0.0	0.122	0.926	0.9293537650554922
RBM28	DDX47	0.0	0.848	0.157	0.8606734291564139
RBM28	TBL3	0.0	0.899	0.0	0.8901793121745475
RBM28	UTP15	0.0	0.881	0.0	0.8706073084036748
RBM28	RBM34	0.0	0.897	0.776	0.9749130404999125
RBM28	POLR1B	0.0	0.886	0.056	0.8829855134552089
RBM28	WDR46	0.0	0.908	0.14	0.9139701700915861
RBM28	UTP6	0.0	0.896	0.0	0.8869173115460687
RBM28	DDX10	0.0	0.902	0.157	0.9101710266929511
RBM28	PNO1	0.0	0.874	0.0	0.8629959736038909
RBM28	PAK1IP1	0.0	0.892	0.057	0.8892616026644021
RBM28	BYSL	0.0	0.906	0.0	0.8977906469743313
RBM28	URB1	0.0	0.712	0.397	0.8111693076186199
RBM28	MAK16	0.0	0.896	0.675	0.9632481262524724
RBM28	RRS1	0.0	0.907	0.0	0.8988779805171576
RBM28	POLR1A	0.0	0.851	0.0	0.8379873021188867
RBM28	ABT1	0.0	0.841	0.0	0.8271139666906242
RBM28	WDR36	0.0	0.888	0.0	0.8782186432034587
RBM28	TSR2	0.0	0.839	0.0	0.8249392996049717
RBM28	GNL3L	0.0	0.811	0.312	0.8586118447592155
RBM28	TTC4	0.0	0.818	0.0	0.80210529520562
RBM28	WDR12	0.0	0.872	0.41	0.9178845708457606
RBM28	DDX49	0.0	0.919	0.157	0.9257536036951942
RBM28	RSL24D1	0.0	0.875	0.0	0.8640833071467172
RBM28	DCAF13	0.0	0.859	0.0	0.8466859704614969
RBM28	HGH1	0.0	0.852	0.0	0.839074635661713
RBM28	UTP4	0.0	0.899	0.0	0.8901793121745475
RBM28	DDX27	0.0	0.902	0.378	0.9337204965634823
RBM28	IMP4	0.0	0.913	0.089	0.9138212053962189
RBM28	WDR75	0.0	0.85	0.0	0.8368999685760606
RBM28	MTREX	0.0	0.852	0.0	0.839074635661713
RBM28	RSL1D1	0.0	0.897	0.373	0.9297789124707372
RBM28	WDR3	0.0	0.904	0.0	0.8956159798886787
RBM28	NOC2L	0.0	0.901	0.38	0.933259467141324
RBM28	RPF2	0.0	0.898	0.157	0.906504537986541
RBM28	PDCD11	0.0	0.888	0.157	0.8973383162205156
RBM28	PUS7	0.0	0.852	0.0	0.839074635661713
RBM28	EBNA1BP2	0.0	0.904	0.157	0.9120042710461562
RBM28	NIFK	0.0	0.901	0.911	0.9904195041541578
RBM28	RRP1B	0.0	0.78	0.197	0.8079116563243125
RBM28	TWISTNB	0.0	0.867	0.0	0.855384638804107
RBM28	RRP36	0.0	0.848	0.0	0.834725301490408
RBM28	MPHOSPH10	0.0	0.902	0.0	0.8934413128030263
RBM28	TSR1	0.0	0.9	0.0	0.8912666457173738
RBM28	KRI1	0.0	0.899	0.0	0.8901793121745475
RBM28	DDX31	0.0	0.907	0.157	0.9147541375759638
RBM28	UTP11	0.0	0.846	0.0	0.8325506344047555
RBM28	NOP56	0.0	0.884	0.348	0.9177627894889642
RBM28	AATF	0.0	0.896	0.0	0.8869173115460687
RBM28	POLR1E	0.0	0.846	0.0	0.8325506344047555
RBM28	NHP2	0.0	0.849	0.0	0.8358126350332343
RBM28	PUM3	0.0	0.907	0.861	0.9859440392918849
RBM28	NOP9	0.0	0.901	0.13	0.906347961956374
RBM28	PINX1	0.0	0.89	0.076	0.8894834187071388
RBM28	TOP1	0.0	0.163	0.961	0.9645061711615223
RBM28	TRMT61A	0.0	0.831	0.0	0.8162406312623616
RBM28	DDX52	0.0	0.901	0.0	0.8923539792602
RBM28	POLR3F	0.0	0.189	0.808	0.830689119379437
RBM28	DDX54	0.0	0.901	0.157	0.9092544045163486
RBM28	NIP7	0.0	0.845	0.885	0.9806182795991218
RBM28	WDR18	0.0	0.831	0.0	0.8162406312623616
RBM28	TEX10	0.0	0.829	0.0	0.8140659641767091
RBM28	HEATR1	0.0	0.869	0.284	0.8980124630170678
RBM28	GTPBP4	0.0	0.905	0.38	0.9359560543275331
RBM28	GNL3	0.0	0.818	0.312	0.8638484431014667
RBM28	DHX37	0.0	0.892	0.08	0.8919625391847826
RBM28	BOP1	0.0	0.885	0.408	0.9259743324043881
RBM28	TRMT6	0.0	0.877	0.0	0.8662579742323697
RBM28	NSA2	0.0	0.824	0.157	0.838674496917953
RBM28	UTP3	0.0	0.923	0.0	0.9162753172023778
RBM28	UTP25	0.0	0.889	0.0	0.879305976746285
RBM28	DKC1	0.0	0.88	0.617	0.950026150371705
RBM28	NOP58	0.0	0.879	0.692	0.9594772535259508
RBM28	MRTO4	0.0	0.893	0.0	0.8836553109175899
RBM28	DDX55	0.0	0.927	0.353	0.9486441494387728
RBM28	RRP12	0.0	0.917	0.962	0.996570550005926
RBM28	DDX51	0.0	0.827	0.157	0.8414243634477607
RBM28	NOM1	0.0	0.848	0.0	0.834725301490408
RBM28	NOP53	0.0	0.897	0.219	0.912531627814427
RBM28	GNL2	0.0	0.886	0.185	0.898975840536012
RBM28	NOL6	0.0	0.852	0.0	0.839074635661713
RBM28	NOC3L	0.0	0.898	0.0	0.8890919786317212
RBM28	DDX56	0.0	0.916	0.379	0.9432803330720109
RBM28	UTP14A	0.0	0.822	0.0	0.8064546293769251
RBM28	NOLC1	0.0	0.827	0.131	0.8365335371721282
RBM28	LTV1	0.0	0.857	0.0	0.8445113033758445
RBM28	SURF6	0.0	0.895	0.157	0.9037546714567334
RBM28	DIMT1	0.0	0.86	0.0	0.8477733040043232
RBM28	WDR74	0.0	0.855	0.16	0.8675627744837612
RBM28	NOL12	0.0	0.739	0.516	0.8626436775360152
RBM28	FTSJ3	0.0	0.902	0.0	0.8934413128030263
RBM28	DHX33	0.0	0.845	0.08	0.8449462367929749
RBM28	DDX24	0.0	0.899	0.411	0.9353156148708085
RBM28	NOB1	0.0	0.857	0.0	0.8445113033758445
RBM28	NOP14	0.0	0.901	0.0	0.8923539792602
RBM28	ESF1	0.0	0.89	0.0	0.8803933102891112
RBM28	RRP1	0.0	0.796	0.127	0.8063545946909852
RBM28	BMS1	0.0	0.914	0.061	0.912193467082608
RBM28	KRR1	0.0	0.878	0.0	0.8673453077751959
RBM28	POLR3C	0.0	0.851	0.051	0.8462499497108236
RBM28	WDR43	0.0	0.904	0.0	0.8956159798886787
RBM28	PPAN-P2RY11	0.0	0.809	0.732	0.9443415706098093
RBM28	RBM19	0.0	0.882	0.0	0.871694641946501
RBM28	RPF1	0.0	0.873	0.131	0.8799986082130651
RBM28	PES1	0.0	0.922	0.62	0.9677714337906296
RBM28	RRP7A	0.0	0.832	0.0	0.8173279648051878
RBM28	RRP8	0.0	0.911	0.67	0.9680650138471927
RBM28	NAT10	0.0	0.912	0.284	0.9314892881336028
RBM28	FKBP15	0.0	0.833	0.094	0.8354842603033008
RBM28	RRP9	0.0	0.897	0.0	0.888004645088895
RBM28	TRMT1	0.0	0.818	0.0	0.80210529520562
RBM28	PWP1	0.0	0.9	0.0	0.8912666457173738
RBM28	NMD3	0.0	0.854	0.0	0.8412493027473656
RBM28	PPAN	0.0	0.811	0.732	0.9449243813887642
RBM28	RRP15	0.0	0.895	0.847	0.982531986634496
RBM28	UTP18	0.0	0.857	0.0	0.8445113033758445
RBM28	NGDN	0.0	0.903	0.0	0.8945286463458526
RBM28	DDX18	0.0	0.871	0.621	0.9468391757576812
RBM28	LYAR	0.0	0.848	0.0	0.834725301490408
RBM28	NOL10	0.0	0.899	0.0	0.8901793121745475
RBM28	TRMT11	0.0	0.818	0.0	0.80210529520562
RBM28	NOC4L	0.0	0.851	0.064	0.8483561147832781
RBM28	NAF1	0.0	0.839	0.0	0.8249392996049717
RBM28	UTP23	0.0	0.895	0.0	0.8858299780032425
RBM28	SDAD1	0.0	0.927	0.39	0.9515810373379466
RBM28	NLE1	0.0	0.825	0.0	0.809716630005404
RBM28	NOP2	0.0	0.904	0.871	0.9865344614056396
RBM28	LSG1	0.0	0.851	0.185	0.8679596512268928
RBM28	GRWD1	0.0	0.856	0.0	0.8434239698330182
RBM28	CEBPZ	0.0	0.888	0.405	0.9275400927060579
RBM28	BRIX1	0.0	0.848	0.378	0.8971991375270337
RBM28	NSUN2	0.0	0.788	0.19	0.8132830840258742
RBM28	DNTTIP2	0.0	0.83	0.0	0.8151532977195354
RBM28	DHX15	0.0	0.853	0.157	0.8652565400394266
RBM28	MYBBP1A	0.0	0.85	0.0	0.8368999685760606
RBM28	NVL	0.0	0.841	0.0	0.8271139666906242
SERPINE1	PLAT	0.0	0.148	0.881	0.8897574267599309
SERPINE1	PLAU	0.0	0.214	0.881	0.8982973444052884
SERPINE1	VTN	0.0	0.063	0.87	0.8675519011483328
PLOD3	DYNLRB1	0.0	0.0	0.819	0.8031926287484463
PLOD3	EEF1B2	0.0	0.044	0.816	0.8087336804826889
PLOD3	EEF1G	0.0	0.048	0.819	0.812639382568521
RPA3	UBXN1	0.0	0.073	0.817	0.8155436504614099
RPA3	RAD52	0.0	0.063	0.993	0.9928681792926025
RPA3	MCM5	0.0	0.834	0.0	0.8195026318908404
RPA3	CLSPN	0.0	0.095	0.993	0.9931117420061956
RPA3	RFWD3	0.0	0.063	0.993	0.9928681792926025
RPA3	NASP	0.0	0.839	0.0	0.8249392996049717
RPA3	DUT	0.0	0.926	0.0	0.9195373178308567
RPA3	CDCA7	0.0	0.838	0.0	0.8238519660621454
RPA3	SMARCAL1	0.0	0.055	0.993	0.9928072886142042
RPA3	TIMELESS	0.0	0.084	0.993	0.993028017323398
RPA3	SLBP	0.0	0.83	0.0	0.8151532977195354
RPA3	TOP3A	0.0	0.0	0.993	0.9923886652002162
RPA3	FEN1	0.0	0.825	0.0	0.809716630005404
RPA3	MCM2	0.0	0.842	0.993	0.9987974091016342
RPA3	UBE2A	0.0	0.06	0.842	0.8385092222194434
RPA3	PCNA	0.0	0.891	0.328	0.9203549926550619
RPA3	RPA1	0.0	0.288	0.998	0.9984516370350154
RPA3	UNC45A	0.0	0.0	0.817	0.8010179616627938
RPA3	POLD1	0.0	0.153	0.942	0.946583652375117
RPA3	TIPIN	0.0	0.298	0.993	0.9946568429705518
RPA3	HELB	0.0	0.0	0.993	0.9923886652002162
RPA3	GINS4	0.0	0.151	0.993	0.9935379767549836
RPA3	RRM1	0.0	0.847	0.0	0.8336379679475818
RPA3	PRIMPOL	0.0	0.0	0.993	0.9923886652002162
RPA3	RMI1	0.0	0.09	0.993	0.9930736853321968
RPA3	RPA2	0.0	0.836	0.998	0.9996433545979531
RPA3	LTN1	0.0	0.0	0.888	0.8782186432034587
RPA3	LMNB1	0.0	0.075	0.835	0.8340457180261417
RPA3	BLM	0.0	0.132	0.993	0.9933933613937876
RPA3	WRN	0.0	0.06	0.993	0.9928453452882032
RPA3	CKS1B	0.0	0.866	0.0	0.8542973052612808
CEP41	HIP1R	0.0	0.0	0.859	0.8466859704614969
CEP41	MVB12A	0.0	0.0	0.917	0.9097513159454202
CEP41	WARS	0.0	0.0	0.847	0.8336379679475818
YAE1	LTO1	0.0	0.062	0.87	0.8674105477877655
PSMA2	PSMB9	0.0	0.808	0.984	0.9966597113564377
PSMA2	WDR11	0.0	0.0	0.827	0.8118912970910566
PSMA2	PSMC5	0.0	0.885	0.991	0.9988746097831748
PSMA2	PSMD5	0.0	0.095	0.825	0.8277935501548906
PSMA2	PSMA3	0.0	0.996	0.994	0.9999739039949721
PSMA2	PSMC2	0.0	0.939	0.992	0.9994693812311007
PSMA2	PSMB2	0.0	0.99	0.994	0.9999347599874304
PSMA2	ENY2	0.0	0.913	0.0	0.9054019817741151
PSMA2	SPCS3	0.0	0.829	0.0	0.8140659641767091
PSMA2	PSMD1	0.0	0.762	0.989	0.9971533607848808
PSMA2	PSMD11	0.0	0.721	0.992	0.9975730715324118
PSMA2	PSMB3	0.0	0.977	0.993	0.9998249392996049
PSMA2	UCHL5	0.0	0.289	0.819	0.8600699590401454
PSMA2	PSMD4	0.0	0.914	0.992	0.9992519145225355
PSMA2	PSMB4	0.0	0.954	0.994	0.9996998959421799
PSMA2	PSMB6	0.0	0.951	0.989	0.9994139272204167
PSMA2	PSMC3	0.0	0.794	0.991	0.9979840836116001
PSMA2	UBB	0.0	0.063	0.962	0.961284401874128
PSMA2	MCTS1	0.0	0.848	0.0	0.834725301490408
PSMA2	PSMD8	0.0	0.897	0.994	0.9993280278705334
PSMA2	PSMD3	0.0	0.59	0.989	0.9950961257218535
PSMA2	PSME2	0.0	0.17	0.822	0.8393573423828479
PSMA2	EXOSC6	0.0	0.067	0.817	0.8143497582313867
PSMA2	PSMD12	0.0	0.684	0.992	0.9972512208037352
PSMA2	PSMB10	0.0	0.684	0.964	0.9876304936168084
PSMA2	PSMB11	0.0	0.52	0.673	0.8293321271179899
PSMA2	PSMD13	0.0	0.681	0.963	0.9871662021940216
PSMA2	PSMA6	0.0	0.992	0.992	0.999930410653259
PSMA2	PSMA5	0.0	0.992	0.994	0.9999478079899444
PSMA2	PSMB1	0.0	0.987	0.994	0.9999151879836595
PSMA2	PSMD7	0.0	0.827	0.992	0.9984951303767284
PSMA2	PSMC4	0.0	0.874	0.992	0.9989039677888312
PSMA2	PSMG2	0.0	0.506	0.946	0.9709942904115666
PSMA2	SMIM15	0.0	0.833	0.0	0.8184152983480141
PSMA2	USP14	0.0	0.752	0.934	0.9822025245710198
PSMA2	HEATR1	0.0	0.126	0.819	0.8279903575261421
PSMA2	PSMD6	0.0	0.871	0.958	0.9941088268649673
PSMA2	PSMD14	0.0	0.893	0.992	0.9990692424873406
PSMA2	PSMA1	0.0	0.991	0.994	0.9999412839886874
PSMA2	UBC	0.0	0.063	0.956	0.9551714126963589
PSMA2	EIF3I	0.0	0.871	0.0	0.859733972975412
PSMA2	PSMB8	0.0	0.69	0.993	0.997640486212067
PSMA2	PSMA7	0.0	0.987	0.992	0.9998869173115461
PSMA2	PSMB7	0.0	0.853	0.992	0.9987212957536363
PSMA2	PSMA4	0.0	0.995	0.994	0.9999673799937152
PSMA2	PSME4	0.0	0.05	0.807	0.8006373949228047
PSMA2	POMP	0.0	0.93	0.593	0.9690218673648798
PSMA2	ELP6	0.0	0.082	0.871	0.8712357871914282
PSMA2	PFDN6	0.0	0.858	0.0	0.8455986369186707
PSMA2	PSMC1	0.0	0.816	0.992	0.9983994450249598
PSMA2	ADRM1	0.0	0.453	0.951	0.9708561990516277
PSMA2	PSMC6	0.0	0.905	0.992	0.999173626507452
PSMA2	PFDN5	0.0	0.839	0.0	0.8249392996049717
PSMA2	UBA52	0.0	0.062	0.96	0.9592032454731586
PSMA2	PSMA8	0.0	0.81	0.963	0.9923560451939314
PSMA2	PSMD2	0.0	0.674	0.992	0.9971642341203092
PSMA2	PSMB5	0.0	0.849	0.992	0.9986865010802659
MRPL32	MRPL19	0.295	0.761	0.944	0.9897402251432834
MRPL32	STOML2	0.058	0.065	0.873	0.8783732729065838
MRPL32	RPS18	0.248	0.474	0.734	0.8855942092964844
MRPL32	IMP3	0.0	0.455	0.715	0.8311099174605108
MRPL32	MRPS10	0.074	0.772	0.943	0.9869147062949001
MRPL32	AC139530.2	0.179	0.536	0.715	0.8819492410955537
MRPL32	MRPS22	0.0	0.246	0.829	0.8598057369892387
MRPL32	DAP3	0.0	0.319	0.943	0.9577929738681129
MRPL32	MRPS18B	0.0	0.18	0.829	0.8475340906249015
MRPL32	RPS3	0.168	0.258	0.734	0.8214451489157654
MRPL32	MRPS23	0.0	0.669	0.827	0.9377360193371397
MRPL32	MRPS14	0.189	0.591	0.94	0.9783599530706844
MRPL32	MRPL38	0.0	0.273	0.974	0.9794472213734979
MRPL32	MRPL22	0.077	0.476	0.92	0.9579287165875995
MRPL32	MRPL18	0.0	0.404	0.97	0.9805584762542664
MRPL32	MRPS28	0.0	0.276	0.831	0.8669582170339498
MRPL32	RPL11	0.164	0.44	0.734	0.8645937450050615
MRPL32	MRPL11	0.0	0.243	0.988	0.9901226620969662
MRPL32	CHCHD1	0.0	0.266	0.829	0.8635244177057044
MRPL32	MRPL58	0.0	0.347	0.948	0.9630785022197913
MRPL32	MRPL52	0.0	0.273	0.959	0.9675898490889775
MRPL32	MRPL43	0.0	0.544	0.943	0.9717380265548597
MRPL32	MRPL50	0.0	0.291	0.966	0.9737887376166301
MRPL32	MRPL48	0.0	0.18	0.829	0.8475340906249015
MRPL32	MRPS25	0.0	0.14	0.8	0.8129786306338829
MRPL32	MRRF	0.25	0.16	0.733	0.8170996247611945
MRPL32	MRPL9	0.0	0.407	0.99	0.9935521120910402
MRPL32	MRPL47	0.0	0.87	0.984	0.9977383462309214
MRPL32	MRPS9	0.082	0.649	0.986	0.9950949818469664
MRPL32	MRPS6	0.0	0.595	0.944	0.9753392752487003
MRPL32	MRPL12	0.179	0.57	0.805	0.9251470346783287
MRPL32	MRPL45	0.0	0.206	0.962	0.967192972345846
MRPL32	MRPL23	0.0	0.523	0.877	0.9362050537088404
MRPL32	MRPS11	0.181	0.422	0.94	0.9691165523697891
MRPL32	MALSU1	0.295	0.157	0.8	0.870756273099042
MRPL32	MRPL15	0.141	0.583	0.989	0.995715652492549
